Epoch,Train Loss,Token Accuracy
884,0.9739,0.58
885,0.9837,0.579
886,0.9927,0.576
887,0.9945,0.575
888,0.9892,0.575
889,0.9817,0.579
890,0.9856,0.579
891,0.9954,0.576
892,1.0429,0.563
893,1.1875,0.521
894,1.2172,0.513
895,1.1557,0.524
896,1.0942,0.538
897,1.0503,0.552
898,0.9972,0.572
899,1.0204,0.567
900,1.0583,0.556
901,1.1566,0.528
902,1.1503,0.53
903,1.101,0.54
904,1.0666,0.548
905,1.056,0.553
906,1.0426,0.559
907,1.0146,0.569
908,1.0072,0.571
909,1.0202,0.568
910,1.0219,0.566
911,1.0148,0.569
912,1.0127,0.569
913,1.0127,0.569
914,1.0112,0.57
915,1.064,0.555
916,1.2833,0.514
917,1.4629,0.491
918,1.4971,0.492
919,1.427,0.498
920,1.3973,0.505
921,1.3301,0.511
922,1.3236,0.517
923,1.189,0.531
924,1.1517,0.536
925,1.1074,0.542
926,1.0876,0.549
927,1.0491,0.557
928,1.0245,0.563
929,1.0012,0.57
930,0.9973,0.572
931,1.0149,0.567
932,1.0244,0.564
933,1.0071,0.57
934,0.995,0.573
935,1.0082,0.569
936,0.9946,0.573
937,0.9846,0.578
938,0.9904,0.576
939,0.9945,0.575
940,1.016,0.569
941,1.007,0.57
942,1.0044,0.574
943,1.0147,0.569
944,1.0172,0.568
945,1.021,0.567
946,1.0188,0.57
947,1.0131,0.569
948,1.0216,0.566
949,1.028,0.565
950,1.0068,0.571
951,1.0239,0.566
952,1.0754,0.552
953,1.2493,0.506
954,1.3477,0.486
955,1.3833,0.484
956,1.3401,0.491
957,1.3255,0.497
958,1.2429,0.502
959,1.215,0.508
960,1.1571,0.517
961,1.1255,0.526
962,1.0951,0.537
963,1.0399,0.555
964,1.0821,0.549
965,1.2638,0.489
966,1.329,0.476
967,1.2392,0.49
968,1.1915,0.5
969,1.1411,0.521
970,1.1196,0.533
971,1.12,0.534
972,1.087,0.544
973,1.048,0.554
974,1.096,0.543
975,1.1467,0.527
976,1.1304,0.531
977,1.0672,0.549
978,1.0692,0.549
979,1.0637,0.551
980,1.0492,0.554
981,1.0452,0.556
982,1.0442,0.557
